"STATION_ADDR1","STATION_ID","STATION_LATITUDE","STATION_LONGITUDE"
"서울특별시 송파구 방이동 225-1","ST-1079",37.50630188,127.1213989
"서울특별시 성동구 왕십리로 지하77","ST-108",37.54458237,127.0446091
"서울특별시 송파구 송파동 69 ","ST-1080",37.50582886,127.1070557
"서울특별시 송파구 송파동 2-3 ","ST-1081",37.50580215,127.1097183
"서울특별시 송파구 장지동 861-6","ST-1082",37.48054123,127.1370163
"서울특별시 송파구 풍납동 490-16","ST-1083",37.53858185,127.1228027
"서울특별시 송파구 문정동 38-3","ST-1084",37.48598862,127.1247635
"서울특별시 송파구 문정동 627","ST-1085",37.47880936,127.1200028
"서울특별시 송파구 올림픽로 424","ST-1086",37.51424026,127.1230698
"서울특별시 송파구 방이동 88-21 ","ST-1087",37.51728821,127.1141968
"서울특별시 송파구 올림픽로 135","ST-1088",37.51194382,127.091217
"서울특별시 송파구 동남로 263","ST-1089",37.49998474,127.1353912
"서울특별시 성동구 아차산로 18","ST-109",37.5485611,127.0450058
"서울특별시  송파구 충민로 120","ST-1090",0,0
"서울특별시 송파구 삼학사로 136","ST-1091",0,0
"서울특별시 송파구 올림픽로 565","ST-1092",37.53284836,127.121048
"서울특별시 중화동 50-8","ST-1093",37.59859085,127.0798187
"서울특별시 중랑구 망우동 534-23 ","ST-1094",37.59552002,127.0987778
"서울특별시 면목동 646-4","ST-1095",37.57402802,127.0805435
"서울특별시 면목동 197-5","ST-1096",37.5799408,127.0793991
"서울특별시 중랑구 면목동 282-8","ST-1097",37.59130096,127.0803299
"서울특별시 면목동 120-2","ST-1098",37.58890152,127.0872803
"서울특별시 상봉동 160-3","ST-1099",37.59732056,127.089798
"서울특별시 마포구 어울마당로 26","ST-11",37.54769135,126.9199829
"서울특별시 마포구 구룡길 19","ST-110",37.58752441,126.8830032
"서울특별시 강북구 수유동 140","ST-1100",37.64173889,127.0246277
"서울특별시 강북구 미아동 194-1","ST-1101",37.62733459,127.0260544
"서울특별시 미아동 813-8","ST-1102",37.61503601,127.0206986
"서울특별시 미아동 194-1","ST-1103",37.63018036,127.02491
"서울특별시 강북구 노해로 87 ","ST-1104",37.64355087,127.0223465
"서울특별시 강북구 미아동 66-1","ST-1105",37.61395645,127.0302506
"서울특별시 강북구 번동 2-2","ST-1106",37.62635422,127.0474472
"서울특별시 강북구 번동 254","ST-1107",37.62991714,127.0409164
"서울특별시 강북구 번동 105","ST-1108",37.61963654,127.0445328
"서울특별시 수유동 230-7","ST-1109",37.6362915,127.0233765
"서울특별시 성동구 아차산로 18","ST-111",37.54630661,127.0498047
"서울특별시 번동 386-17","ST-1110",37.63626099,127.0321732
"서울특별시 노원구 공릉동 687-6","ST-1111",37.61736679,127.0752106
"서울특별시 노원구 공릉동 425-9","ST-1112",0,0
"서울특별시 노원구 공릉동 26-43","ST-1114",37.63848877,127.1079025
"서울특별시 노원구 공릉동 320-2","ST-1115",0,0
"서울특별시 노원구 중계동 391","ST-1116",0,0
"서울특별시 노원구 중계동 503-3","ST-1117",0,0
"서울특별시 노원구 중계동 506-3","ST-1118",37.63957977,127.0651016
"서울특별시 노원구 상계동 1118-9","ST-1119",37.67237473,127.0559921
"서울특별시 성동구 아차산로 171","ST-112",37.54257965,127.0633087
"서울특별시 노원구 상계동 1263","ST-1120",37.68000031,127.0555801
"서울특별시 노원구 상계동 335-4","ST-1121",37.65620041,127.0636215
"서울특별시 노원구 상계동 172-2","ST-1122",37.66379166,127.0754471
"서울특별시 동일로 1127","ST-1123",37.63111115,127.0701599
"서울특별시 노원구 노원로 434 상계2차중앙하이츠아파트","ST-1124",37.65501785,127.0675049
"서울특별시 노원구 노해로 437 ","ST-1125",37.65404892,127.0573273
"서울특별시 노원구 동일로 1532","ST-1126",0,0
"서울특별시 노원구 중계동 370","ST-1127",37.65032959,127.0716019
"서울특별시 노원구 하계동 266","ST-1128",37.64207077,127.076622
"서울특별시  도봉구 노해로140","ST-1129",37.64726639,127.0258789
"서울특별시 광진구 자양로3길 7","ST-113",37.53023529,127.0868301
"서울특별시 도봉구 덕릉로 315","ST-1130",37.64463043,127.0446091
"서울특별시 도봉구 삼양로556","ST-1131",37.65317917,127.0127869
"서울특별시 도봉구 마들로11길 20","ST-1132",37.65420151,127.0507278
"서울특별시 도봉구 창동 1-24","ST-1133",37.65570831,127.0501022
"서울특별시 도봉구 시루봉로 11길 25-8","ST-1134",0,0
"서울특별시  도봉구 도봉로 771","ST-1135",37.67328262,127.0439911
"서울특별시 도봉구 마들로 656","ST-1136",37.66867065,127.0479813
"서울특별시 창동 74-2 ","ST-1137",37.65301514,127.0469971
"서울특별시 가산동 464-2","ST-1138",0,0
"서울특별시 가산동 371-27","ST-1139",0,0
"서울특별시 광진구 광나루로 355","ST-114",37.54840469,127.0693665
"서울특별시 가산동 60-35","ST-1140",37.47705841,126.8851852
"서울특별시 가산동 219-18","ST-1141",37.47510147,126.8880692
"서울특별시 가산동 144-3","ST-1142",37.4769516,126.8918686
"서울특별시 시흥동 1000-3","ST-1143",37.46257401,126.9068604
"서울특별시 독산동 906-42","ST-1144",37.47709656,126.9111328
"서울특별시 금천구 시흥대로236","ST-1145",0,0
"서울특별시 금천구 벚꽃로40 ","ST-1146",37.460289,126.892189
"서울특별시 금천구 독산동 441-19 ","ST-1147",37.46017075,126.8960419
"서울특별시 금천구 안양천로","ST-1148",37.46103287,126.8871002
"서울특별시 금천구 가산동 60-73 ","ST-1149",37.4762764,126.8853912
"서울특별시 성동구 성수이로24길 38","ST-115",37.54400635,127.0621491
"서울특별시 동작구 노량진동 113-7 ","ST-1150",37.5135231,126.9435272
"서울특별시 동작구 신대방동 395 ","ST-1151",37.49707794,126.9177933
"서울특별시 동작구 사당동 1131 ","ST-1152",37.48463058,126.97155
"서울특별시 동작구 흑석동 27-83 ","ST-1153",37.50592804,126.9692307
"서울특별시 사당동 211-2 ","ST-1154",37.48665237,126.9678421
"서울특별시 관악구 봉천동 859-9 ","ST-1155",0,0
"서울특별시 관악구 봉천동 244-1 ","ST-1156",37.47509003,126.9592285
"서울특별시 관악로 145","ST-1157",37.47862625,126.951294
"서울특별시 서초동 1748-14","ST-1158",37.49053955,127.0081635
